primary_id,team_name,ranking,league_id,league_name,market_value
27,FC Bayern München,1,L1,Bundesliga,995700000
16,Borussia Dortmund,2,L1,Bundesliga,522700000
15,Bayer 04 Leverkusen,9,L1,Bundesliga,416350000
23826,RasenBallsport Leipzig,3,L1,Bundesliga,493300000
89,1.FC Union Berlin,4,L1,Bundesliga,117900000
60,SC Freiburg,5,L1,Bundesliga,161625000
3,1.FC Köln,12,L1,Bundesliga,96025000
39,1.FSV Mainz 05,7,L1,Bundesliga,113200000
533,TSG 1899 Hoffenheim,18,L1,Bundesliga,170950000
18,Borussia Mönchengladbach,10,L1,Bundesliga,233000000
24,Eintracht Frankfurt,6,L1,Bundesliga,267950000
82,VfL Wolfsburg,8,L1,Bundesliga,188200000
80,VfL Bochum,14,L1,Bundesliga,46625000
167,FC Augsburg,13,L1,Bundesliga,111150000
79,VfB Stuttgart,16,L1,Bundesliga,123350000
44,Hertha BSC,15,L1,Bundesliga,97200000
33,FC Schalke 04,17,L1,Bundesliga,60450000
86,SV Werder Bremen,11,L1,Bundesliga,73050000
10,Arminia Bielefeld,15,L2,2. Bundesliga,23750000
65,SpVgg Greuther Fürth,13,L2,2. Bundesliga,21200000
44,Hertha BSC,15,L1,Bundesliga,97200000
33,FC Schalke 04,17,L1,Bundesliga,60450000
86,SV Werder Bremen,11,L1,Bundesliga,73050000
10,Arminia Bielefeld,15,L2,2. Bundesliga,23750000
65,SpVgg Greuther Fürth,13,L2,2. Bundesliga,21200000
41,Hamburger SV,2,L2,2. Bundesliga,42350000
105,SV Darmstadt 98,1,L2,2. Bundesliga,23425000
35,FC St. Pauli,7,L2,2. Bundesliga,24000000
2036,1.FC Heidenheim 1846,3,L2,2. Bundesliga,18150000
127,SC Paderborn 07,4,L2,2. Bundesliga,18725000
4,1.FC Nürnberg,12,L2,2. Bundesliga,28100000
269,Holstein Kiel,9,L2,2. Bundesliga,17250000
38,Fortuna Düsseldorf,5,L2,2. Bundesliga,25950000
42,Hannover 96,10,L2,2. Bundesliga,25175000
48,Karlsruher SC,8,L2,2. Bundesliga,19350000
30,FC Hansa Rostock,14,L2,2. Bundesliga,14650000
254,SV Sandhausen,18,L2,2. Bundesliga,16025000
109,SSV Jahn Regensburg,16,L2,2. Bundesliga,14775000
187,1.FC Magdeburg,11,L2,2. Bundesliga,14150000
23,Eintracht Braunschweig,17,L2,2. Bundesliga,19125000
2,1.FC Kaiserslautern,6,L2,2. Bundesliga,14525000
129,SG Dynamo Dresden,6,L3,3. Liga,8775000
94,FC Erzgebirge Aue,11,L3,3. Liga,5825000
4795,FC Ingolstadt 04,12,L3,3. Liga,7675000
72,TSV 1860 München,9,L3,3. Liga,8600000
85,SV Waldhof Mannheim,3,L3,3. Liga,6300000
81,VfL Osnabrück,5,L3,3. Liga,5650000
1,1.FC Saarbrücken,7,L3,3. Liga,6550000
108,SV Wehen Wiesbaden,6,L3,3. Liga,6300000
17,Borussia Dortmund II,17,L3,3. Liga,14400000
275,FSV Zwickau,19,L3,3. Liga,4850000
245,SC Freiburg II,2,L3,3. Liga,11650000
247,SV Meppen,20,L3,3. Liga,4275000
52,MSV Duisburg,12,L3,3. Liga,6050000
275,FSV Zwickau,19,L3,3. Liga,4850000
245,SC Freiburg II,2,L3,3. Liga,11650000
247,SV Meppen,20,L3,3. Liga,4275000
1622,FC Viktoria Köln,10,L3,3. Liga,6750000
440,Hallescher FC,15,L3,3. Liga,5125000
52,MSV Duisburg,12,L3,3. Liga,6050000
93,SC Verl,8,L3,3. Liga,4800000
752,SpVgg Bayreuth,16,L3,3. Liga,3750000
56,Rot-Weiss Essen,14,L3,3. Liga,5200000
64,SV 07 Elversberg,1,L3,3. Liga,6175000
166,VfB Oldenburg,20,L3,3. Liga,4035000
11,FC Arsenal,1,GB1,Premier League,803000000
405,Aston Villa,11,GB1,Premier League,445800000
989,AFC Bournemouth,18,GB1,Premier League,226700000
1148,FC Brentford,9,GB1,Premier League,305100000
1237,Brighton & Hove Albion,7,GB1,Premier League,308600000
631,FC Chelsea,10,GB1,Premier League,1034500000
873,Crystal Palace,12,GB1,Premier League,309200000
29,FC Everton,15,GB1,Premier League,368100000
931,FC Fulham,8,GB1,Premier League,245500000
399,Leeds United,19,GB1,Premier League,295000000
1003,Leicester City,16,GB1,Premier League,455100000
31,FC Liverpool,6,GB1,Premier League,931000000
281,Manchester City,2,GB1,Premier League,1048750000
985,Manchester United,3,GB1,Premier League,759200000
762,Newcastle United,5,GB1,Premier League,474400000
703,Nottingham Forest,14,GB1,Premier League,332650000
180,FC Southampton,20,GB1,Premier League,387500000
148,Tottenham Hotspur,4,GB1,Premier League,711300000
379,West Ham United,17,GB1,Premier League,471500000
543,Wolverhampton Wanderers,13,GB1,Premier League,393700000
418,Real Madrid,2,ES1,LaLiga,851000000
131,FC Barcelona,1,ES1,LaLiga,762000000
368,FC Sevilla,13,ES1,LaLiga,240000000
13,Atlético Madrid,3,ES1,LaLiga,489000000
681,Real Sociedad San Sebastián,4,ES1,LaLiga,380500000
150,Real Betis Sevilla,5,ES1,LaLiga,262500000
1050,FC Villarreal,6,ES1,LaLiga,289700000
621,Athletic Bilbao,9,ES1,LaLiga,221800000
1049,FC Valencia,17,ES1,LaLiga,249500000
331,CA Osasuna,8,ES1,LaLiga,124200000
1531,FC Elche,20,ES1,LaLiga,69100000
940,Celta Vigo,11,ES1,LaLiga,125500000
714,Espanyol Barcelona,15,ES1,LaLiga,108400000
367,Rayo Vallecano,7,ES1,LaLiga,88200000
3709,FC Getafe,18,ES1,LaLiga,143200000
237,RCD Mallorca,10,ES1,LaLiga,86100000
2687,FC Cádiz,16,ES1,LaLiga,61900000
3302,UD Almería,19,ES1,LaLiga,95700000
366,Real Valladolid,14,ES1,LaLiga,67800000
12321,FC Girona,12,ES1,LaLiga,114700000
5,AC Mailand,4,IT1,Serie A,571400000
46,Inter Mailand,2,IT1,Serie A,555950000
6195,SSC Neapel,1,IT1,Serie A,543000000
506,Juventus Turin,7,IT1,Serie A,442900000
398,Lazio Rom,3,IT1,Serie A,264400000
12,AS Rom,5,IT1,Serie A,338750000
430,AC Florenz,11,IT1,Serie A,235750000
800,Atalanta Bergamo,6,IT1,Serie A,307500000
276,Hellas Verona,18,IT1,Serie A,77950000
416,FC Turin,8,IT1,Serie A,154525000
6574,US Sassuolo,13,IT1,Serie A,177100000
410,Udinese Calcio,10,IT1,Serie A,140650000
1025,FC Bologna,9,IT1,Serie A,125100000
749,FC Empoli,14,IT1,Serie A,91700000
1038,Sampdoria Genua,20,IT1,Serie A,72750000
3522,Spezia Calcio,17,IT1,Serie A,80600000
380,US Salernitana 1919,16,IT1,Serie A,100875000
1005,US Lecce,15,IT1,Serie A,73425000
2239,US Cremonese,19,IT1,Serie A,59050000
2919,AC Monza,12,IT1,Serie A,108400000
449,Trabzonspor,4,TR1,Süper Lig,128400000
36,Fenerbahce,2,TR1,Süper Lig,172400000
2293,Konyaspor,8,TR1,Süper Lig,36350000
6890,Basaksehir FK,6,TR1,Süper Lig,47650000
11282,Alanyaspor,10,TR1,Süper Lig,38575000
114,Besiktas JK,3,TR1,Süper Lig,112875000
589,Antalyaspor,11,TR1,Süper Lig,40400000
6646,Fatih Karagümrük,9,TR1,Süper Lig,32375000
3840,Adana Demirspor,5,TR1,Süper Lig,39250000
2381,Sivasspor,15,TR1,Süper Lig,28350000
10484,Kasimpasa,13,TR1,Süper Lig,37625000
7775,Hatayspor,18,TR1,Süper Lig,7150000
141,Galatasaray,1,TR1,Süper Lig,176425000
3205,Kayserispor,7,TR1,Süper Lig,26225000
2832,Gaziantep FK,12,TR1,Süper Lig,2750000
11688,Giresunspor,17,TR1,Süper Lig,16100000
868,MKE Ankaragücü,14,TR1,Süper Lig,29950000
24245,Ümraniyespor,19,TR1,Süper Lig,12150000
924,Istanbulspor,15,TR1,Süper Lig,15325000
583,FC Paris Saint-Germain,1,FR1,Ligue 1,889050000
244,Olympique Marseille,2,FR1,Ligue 1,241200000
162,AS Monaco,4,FR1,Ligue 1,306400000
273,FC Stade Rennes,5,FR1,Ligue 1,319500000
417,OGC Nizza,7,FR1,Ligue 1,202800000
667,RC Straßburg Alsace,15,FR1,Ligue 1,92300000
826,RC Lens,3,FR1,Ligue 1,168300000
1041,Olympique Lyon,10,FR1,Ligue 1,199800000
995,FC Nantes,14,FR1,Ligue 1,118300000
1082,LOSC Lille,6,FR1,Ligue 1,185700000
3911,Stade Brest 29,16,FR1,Ligue 1,72300000
1421,Stade Reims,8,FR1,Ligue 1,70200000
969,Montpellier HSC,13,FR1,Ligue 1,103900000
1420,Angers SCO,20,FR1,Ligue 1,55000000
1095,ESTAC Troyes,19,FR1,Ligue 1,77200000
1158,FC Lorient,9,FR1,Ligue 1,80500000
3524,Clermont Foot 63,12,FR1,Ligue 1,32900000
415,FC Toulouse,11,FR1,Ligue 1,61350000
1147,AC Ajaccio,18,FR1,Ligue 1,25950000
290,AJ Auxerre,17,FR1,Ligue 1,49200000
610,Ajax Amsterdam,2,NL1,Eredivisie,275200000
1090,AZ Alkmaar,3,NL1,Eredivisie,93750000
133,SC Cambuur Leeuwarden,18,NL1,Eredivisie,17075000
1283,FC Emmen,15,NL1,Eredivisie,13775000
798,Excelsior Rotterdam,16,NL1,Eredivisie,15050000
234,Feyenoord Rotterdam,1,NL1,Eredivisie,149300000
385,Fortuna Sittard,11,NL1,Eredivisie,22425000
1435,Go Ahead Eagles Deventer,12,NL1,Eredivisie,12025000
202,FC Groningen,17,NL1,Eredivisie,33425000
306,SC Heerenveen,10,NL1,Eredivisie,32200000
467,NEC Nijmegen,9,NL1,Eredivisie,19050000
383,PSV Eindhoven,4,NL1,Eredivisie,184350000
235,RKC Waalwijk,8,NL1,Eredivisie,13625000
468,Sparta Rotterdam,6,NL1,Eredivisie,11725000
317,FC Twente Enschede,5,NL1,Eredivisie,40125000
200,FC Utrecht,7,NL1,Eredivisie,42700000
499,Vitesse Arnheim,13,NL1,Eredivisie,38775000
724,FC Volendam,14,NL1,Eredivisie,12550000
409,Red Bull Salzburg,1,A1,Bundesliga,223325000
122,SK Sturm Graz,2,A1,Bundesliga,40475000
14,FK Austria Wien,6,A1,Bundesliga,23725000
4441,Wolfsberger AC,9,A1,Bundesliga,14875000
170,SK Rapid Wien,4,A1,Bundesliga,24675000
28760,SK Austria Klagenfurt,5,A1,Bundesliga,11250000
2446,WSG Tirol,7,A1,Bundesliga,8850000
413,LASK,3,A1,Bundesliga,27475000
3551,SCR Altach,12,A1,Bundesliga,11400000
266,SV Ried,11,A1,Bundesliga,9750000
4467,TSV Hartberg,10,A1,Bundesliga,10300000
541,SC Austria Lustenau,8,A1,Bundesliga,10100000
260,FC Zürich,8,C1,Super League,30800000
26,FC Basel 1893,6,C1,Super League,41775000
452,BSC Young Boys,1,C1,Super League,55975000
2790,FC Lugano,4,C1,Super League,15860000
257,FC St. Gallen 1879,3,C1,Super League,26525000
61,Servette FC,2,C1,Super League,26900000
321,FC Sion,9,C1,Super League,16760000
504,Grasshopper Club Zürich,7,C1,Super League,21550000
242,FC Winterthur,10,C1,Super League,9425000
434,FC Luzern,5,C1,Super League,20550000
432,Chicago Fire FC,,MLS1,Major League Soccer,33300000
623,New York Red Bulls,,MLS1,Major League Soccer,38650000
626,New England Revolution,,MLS1,Major League Soccer,38775000
813,Columbus Crew,,MLS1,Major League Soccer,35600000
2440,D.C. United,,MLS1,Major League Soccer,29250000
4078,CF Montréal,,MLS1,Major League Soccer,27925000
11141,Toronto FC,,MLS1,Major League Soccer,51600000
25467,Philadelphia Union,,MLS1,Major League Soccer,49400000
40058,New York City FC,,MLS1,Major League Soccer,55575000
45604,Orlando City SC,,MLS1,Major League Soccer,42075000
51663,Atlanta United FC,,MLS1,Major League Soccer,53350000
51772,FC Cincinnati,,MLS1,Major League Soccer,44950000
63966,Nashville SC,,MLS1,Major League Soccer,35400000
69261,Inter Miami CF,,MLS1,Major League Soccer,31425000
78435,Charlotte FC,,MLS1,Major League Soccer,37975000
218,San Jose Earthquakes,,MLS1,Major League Soccer,44850000
1061,Los Angeles Galaxy,,MLS1,Major League Soccer,40225000
1247,Colorado Rapids,,MLS1,Major League Soccer,33950000
4284,Sporting Kansas City,,MLS1,Major League Soccer,38850000
4291,Portland Timbers,,MLS1,Major League Soccer,38150000
6321,Vancouver Whitecaps FC,,MLS1,Major League Soccer,37850000
6643,Real Salt Lake City,,MLS1,Major League Soccer,25450000
8816,FC Dallas,,MLS1,Major League Soccer,44475000
9168,Houston Dynamo FC,,MLS1,Major League Soccer,27525000
9636,Seattle Sounders FC,,MLS1,Major League Soccer,49025000
51828,Los Angeles FC,,MLS1,Major League Soccer,52600000
56089,Minnesota United FC,,MLS1,Major League Soccer,34375000
72309,Austin FC,,MLS1,Major League Soccer,48825000
82686,St. Louis CITY SC,,MLS1,Major League Soccer,20075000
